,,Forest coverage | per cent
Republic of Lithuania,1993,
,1998,
,2001,
,2002,
,2003,
,2004,32.0
,2005,32.5
,2006,32.7
,2007,32.8
,2008,32.9
,2009,33.1
,2010,33.2
,2011,33.3
,2012,33.3
,2013,33.3
,2014,33.4
,2015,
Alytus county,1993,
,1998,
,2001,
,2002,
,2003,
,2004,49.0
,2005,49.1
,2006,49.1
,2007,49.1
,2008,49.1
,2009,49.1
,2010,49.1
,2011,49.1
,2012,49.0
,2013,49.0
,2014,49.1
,2015,
Alytus c. mun.,1993,
,1998,
,2001,
,2002,
,2003,
,2004,30.4
,2005,31.8
,2006,31.8
,2007,31.8
,2008,31.8
,2009,31.8
,2010,31.8
,2011,31.8
,2012,32.0
,2013,32.5
,2014,32.5
,2015,
Alytus d. mun.,1993,
,1998,
,2001,
,2002,
,2003,
,2004,24.6
,2005,24.7
,2006,24.7
,2007,24.7
,2008,24.7
,2009,24.7
,2010,24.7
,2011,24.5
,2012,24.9
,2013,25.0
,2014,25.0
,2015,
Druskininkai mun.,1993,
,1998,
,2001,
,2002,
,2003,
,2004,69.2
,2005,69.2
,2006,69.2
,2007,69.2
,2008,69.2
,2009,69.2
,2010,69.2
,2011,68.7
,2012,69.1
,2013,69.0
,2014,69.1
,2015,
Lazdijai d. mun.,1993,
,1998,
,2001,
,2002,
,2003,
,2004,34.8
,2005,34.9
,2006,34.9
,2007,34.9
,2008,34.9
,2009,34.9
,2010,34.9
,2011,35.5
,2012,35.0
,2013,35.2
,2014,35.2
,2015,
Varėna d. mun.,1993,
,1998,
,2001,
,2002,
,2003,
,2004,69.0
,2005,69.1
,2006,69.1
,2007,69.1
,2008,69.1
,2009,69.1
,2010,69.1
,2011,68.9
,2012,68.7
,2013,68.7
,2014,68.7
,2015,
Kaunas county,1993,
,1998,
,2001,
,2002,
,2003,
,2004,29.5
,2005,29.5
,2006,29.6
,2007,29.6
,2008,29.6
,2009,29.6
,2010,29.6
,2011,29.6
,2012,29.7
,2013,29.6
