"Municipality" "Year" "ID" "LAI_Avg" "LAI_Med" "LAI_Q75" "LAI_Q90" "LAI_Max" "Forest_Coverage"
"1" "Akmene" 2004 2 2.56985501109192 2.28301538461538 3.1189617991374 3.71581433355551 4.55200246457178 32.1
"2" "Akmene" 2005 2 2.59831975097995 2.39688205128205 3.28609057301294 3.95224070193513 4.71604025467242 32.3
"3" "Akmene" 2006 2 2.55726563901857 2.36459487179487 3.25958102279729 3.83864037393667 4.49258574655987 32.5
"4" "Akmene" 2007 2 3.07598894197015 2.73485128205128 3.73023721503389 4.54398438985844 5.41123433970014 32.4
"5" "Akmene" 2008 2 2.73507602270849 2.57308717948718 3.41234853152598 3.98528033756186 4.67948243992606 32.4
"6" "Akmene" 2009 2 2.77543743875075 2.59989743589744 3.35183302526186 3.93618401609473 4.69379749435202 32.4
"7" "Akmene" 2010 2 3.00280726119913 2.77801025641026 3.65426165537071 4.39944957434262 5.29016225097556 32.4
"8" "Akmene" 2011 2 2.84522065210297 2.66722051282051 3.57369069624153 4.20294721207351 4.92951324707332 32.4
"9" "Akmene" 2012 2 2.96108010477234 2.73532307692308 3.61154241117273 4.28359416549175 5.06101868966934 32.4
"10" "Akmene" 2013 2 2.88806660279088 2.54502564102564 3.66702094886014 4.43440542033037 5.22109262682276 32.4
"11" "Akmene" 2014 2 2.97324784689079 2.70642051282051 3.7620045183816 4.54531731063959 5.36711850482645 32.4
"12" "Alytus" 2004 7 2.91731389134893 2.72967937608319 3.40108534597718 3.92522891842007 4.65304489554008 24.6
"13" "Alytus" 2005 7 3.06488484782862 2.79969670710572 3.72792265520818 4.31122092484262 5.006326863239 24.7
"14" "Alytus" 2006 7 2.66407538432987 2.45606585788562 3.29543636094236 3.77313971840941 4.38341976589124 24.7
"15" "Alytus" 2007 7 3.05936999501379 2.818573079145 3.57456660245962 4.1708386396899 4.96360942361831 24.7
"16" "Alytus" 2008 7 2.77738268168999 2.60166088965916 3.28123055267447 3.80349087973032 4.4217958216032 24.7
"17" "Alytus" 2009 7 2.94651416745616 2.76556903523975 3.54689954067269 4.091939541569 4.76998073788709 24.7
"18" "Alytus" 2010 7 3.18256941552275 3.01955517042172 3.65842222222222 4.18170221338625 4.8377037037037 24.7
"19" "Alytus" 2011 7 3.10787984459984 2.93970248411323 3.67894814814815 4.23574814017967 4.93597037037037 24.5
"20" "Alytus" 2012 7 3.18553845405623 3.00862218370884 3.7429037037037 4.28840888266387 4.97576296296296 24.9
"21" "Alytus" 2013 7 3.18318150105039 2.88385326400924 3.73685185185185 4.46844888291536 5.28605925925926 25
"22" "Alytus" 2014 7 3.06320403033181 2.8341132293472 3.64624074074074 4.25112592141893 4.9642962962963 25
"23" "Anyksciai" 2004 38 3.08100139467486 2.91031487513572 3.66770833333333 4.23885325441323 4.99313654033042 30.3
