"ID" "Year" "LAI_Avg" "Municipality"
"Siauliai.2002" 1 2002 29.6924805932105 "Siauliai"
"Akmene.2002" 2 2002 28.5501882658999 "Akmene"
"Joniskis.2002" 3 2002 21.932159930465 "Joniskis"
"Kelme.2002" 4 2002 30.4448506493506 "Kelme"
"Pakruojis.2002" 5 2002 21.5749632172634 "Pakruojis"
"Radviliskis.2002" 6 2002 25.2075257222447 "Radviliskis"
"Alytus.2002" 7 2002 23.2468410393203 "Alytus"
"Druskininkai.2002" 8 2002 25.8839015151515 "Druskininkai"
"Lazdijai.2002" 9 2002 25.5107474274164 "Lazdijai"
"Varena.2002" 10 2002 30.3076433396847 "Varena"
"Birstonas.2002" 11 2002 21.5416666666667 "Birstonas"
"Jonava.2002" 12 2002 26.5979045627082 "Jonava"
"Kedainiai.2002" 13 2002 23.3046577905408 "Kedainiai"
"Kaisiadorys.2002" 14 2002 27.5093504178958 "Kaisiadorys"
"Kaunas.2002" 15 2002 25.0022772598674 "Kaunas"
"Prienai.2002" 16 2002 24.0396928178178 "Prienai"
"Raseiniai.2002" 17 2002 24.809145716946 "Raseiniai"
"Silute.2002" 18 2002 31.6849219108865 "Silute"
"Klaipeda.2002" 19 2002 29.9116439522998 "Klaipeda"
"Kretinga.2002" 20 2002 31.434454951983 "Kretinga"
"Neringa.2002" 21 2002 23.9266666666667 "Neringa"
"Palanga.2002" 22 2002 31.2831908831909 "Palanga"
"Skuodas.2002" 23 2002 29.2203594400303 "Skuodas"
"Sakiai.2002" 24 2002 23.0879628335895 "Sakiai"
"Marijampole.2002" 25 2002 24.8442567415982 "Marijampole"
"Vilkaviskis.2002" 26 2002 18.8360812425329 "Vilkaviskis"
"Birzai.2002" 27 2002 29.2717180573822 "Birzai"
"Kupiskis.2002" 28 2002 29.843638855462 "Kupiskis"
"Panevezys.2002" 29 2002 26.5671439423966 "Panevezys"
"Pasvalys.2002" 30 2002 21.4925142665324 "Pasvalys"
"Rokiskis.2002" 31 2002 31.5894188262968 "Rokiskis"
"Silale.2002" 32 2002 35.6129899180844 "Silale"
"Jurbarkas.2002" 33 2002 28.0952828834003 "Jurbarkas"
"Taurage.2002" 34 2002 33.5043943870015 "Taurage"
"Mazeikiai.2002" 35 2002 28.2177773031468 "Mazeikiai"
"Plunge.2002" 36 2002 37.8871079691517 "Plunge"
"Telsiai.2002" 37 2002 34.9463353566009 "Telsiai"
"Anyksciai.2002" 38 2002 30.7019132653061 "Anyksciai"
"Ignalina.2002" 39 2002 31.7350492152168 "Ignalina"
"Moletai.2002" 40 2002 31.5808096482631 "Moletai"
"Utena.2002" 41 2002 33.9221329926386 "Utena"
"Zarasai.2002" 42 2002 34.7896023072253 "Zarasai"
"Salcininkai.2002" 43 2002 27.8481107552337 "Salcininkai"
"Sirvintos.2002" 44 2002 29.1416234247591 "Sirvintos"
"Svencionys.2002" 45 2002 32.3840978013647 "Svencionys"
"Trakai.2002" 46 2002 27.8042003652492 "Trakai"
"Ukmerge.2002" 47 2002 28.3187457977761 "Ukmerge"
"Vilnius.2002" 48 2002 29.6641314263853 "Vilnius"
"Siauliai.2003" 1 2003 29.7061198974303 "Siauliai"
"Akmene.2003" 2 2003 27.3600814653957 "Akmene"
"Joniskis.2003" 3 2003 26.7467249576441 "Joniskis"
"Kelme.2003" 4 2003 30.7093277152141 "Kelme"
"Pakruojis.2003" 5 2003 28.1600344363464 "Pakruojis"
"Radviliskis.2003" 6 2003 28.1639043419775 "Radviliskis"
"Alytus.2003" 7 2003 29.418065961816 "Alytus"
"Druskininkai.2003" 8 2003 22.8824062301335 "Druskininkai"
"Lazdijai.2003" 9 2003 26.3936713629382 "Lazdijai"
"Varena.2003" 10 2003 27.9864346323077 "Varena"
"Birstonas.2003" 11 2003 25.2437703962704 "Birstonas"
"Jonava.2003" 12 2003 29.1840821732816 "Jonava"
"Kedainiai.2003" 13 2003 28.2889658449572 "Kedainiai"
"Kaisiadorys.2003" 14 2003 32.4001131478731 "Kaisiadorys"
"Kaunas.2003" 15 2003 29.5560230912047 "Kaunas"
"Prienai.2003" 16 2003 30.2269286701578 "Prienai"
"Raseiniai.2003" 17 2003 28.4724246873549 "Raseiniai"
"Silute.2003" 18 2003 31.9610774095501 "Silute"
"Klaipeda.2003" 19 2003 29.9607530950972 "Klaipeda"
"Kretinga.2003" 20 2003 31.1875032232631 "Kretinga"
"Neringa.2003" 21 2003 21.9702705627706 "Neringa"
"Palanga.2003" 22 2003 31.7071301443096 "Palanga"
"Skuodas.2003" 23 2003 28.7888395083287 "Skuodas"
"Sakiai.2003" 24 2003 28.8390711721018 "Sakiai"
"Marijampole.2003" 25 2003 29.2916104128145 "Marijampole"
"Vilkaviskis.2003" 26 2003 27.5521090750481 "Vilkaviskis"
"Birzai.2003" 27 2003 29.2571304043027 "Birzai"
"Kupiskis.2003" 28 2003 28.1662744061661 "Kupiskis"
"Panevezys.2003" 29 2003 28.2450007175631 "Panevezys"
"Pasvalys.2003" 30 2003 26.3473088383587 "Pasvalys"
"Rokiskis.2003" 31 2003 29.0780373217379 "Rokiskis"
"Silale.2003" 32 2003 33.6598505264951 "Silale"
"Jurbarkas.2003" 33 2003 30.5741573503241 "Jurbarkas"
"Taurage.2003" 34 2003 32.7018080987616 "Taurage"
"Mazeikiai.2003" 35 2003 27.1935410251621 "Mazeikiai"
"Plunge.2003" 36 2003 34.236696311044 "Plunge"
"Telsiai.2003" 37 2003 32.0432225547172 "Telsiai"
"Anyksciai.2003" 38 2003 30.1826305905114 "Anyksciai"
"Ignalina.2003" 39 2003 31.2429942886767 "Ignalina"
"Moletai.2003" 40 2003 31.1881448776459 "Moletai"
"Utena.2003" 41 2003 32.6324344730121 "Utena"
"Zarasai.2003" 42 2003 30.9739227231987 "Zarasai"
"Salcininkai.2003" 43 2003 29.100213361427 "Salcininkai"
"Sirvintos.2003" 44 2003 31.1495657569787 "Sirvintos"
"Svencionys.2003" 45 2003 29.1084306810899 "Svencionys"
"Trakai.2003" 46 2003 29.7927619985603 "Trakai"
"Ukmerge.2003" 47 2003 30.7607350553937 "Ukmerge"
"Vilnius.2003" 48 2003 30.3416231745555 "Vilnius"
"Siauliai.2004" 1 2004 27.8983796240573 "Siauliai"
"Akmene.2004" 2 2004 25.6985501109192 "Akmene"
"Joniskis.2004" 3 2004 25.7211627939743 "Joniskis"
"Kelme.2004" 4 2004 28.8345922875825 "Kelme"
"Pakruojis.2004" 5 2004 26.7600634661326 "Pakruojis"
"Radviliskis.2004" 6 2004 27.2225286118533 "Radviliskis"
"Alytus.2004" 7 2004 29.1731389134893 "Alytus"
"Druskininkai.2004" 8 2004 20.8423871582962 "Druskininkai"
"Lazdijai.2004" 9 2004 25.9562040568001 "Lazdijai"
"Varena.2004" 10 2004 26.6804650162535 "Varena"
"Birstonas.2004" 11 2004 22.7438757770008 "Birstonas"
"Jonava.2004" 12 2004 28.0409593730823 "Jonava"
"Kedainiai.2004" 13 2004 28.1596916357946 "Kedainiai"
"Kaisiadorys.2004" 14 2004 30.0781641329623 "Kaisiadorys"
"Kaunas.2004" 15 2004 28.0956216309702 "Kaunas"
"Prienai.2004" 16 2004 29.575794539857 "Prienai"
"Raseiniai.2004" 17 2004 27.2247059710153 "Raseiniai"
"Silute.2004" 18 2004 30.4468094931405 "Silute"
"Klaipeda.2004" 19 2004 27.821397039455 "Klaipeda"
"Kretinga.2004" 20 2004 28.9633446685514 "Kretinga"
"Neringa.2004" 21 2004 19.9099814074814 "Neringa"
"Palanga.2004" 22 2004 27.8818032394955 "Palanga"
"Skuodas.2004" 23 2004 27.6015796663924 "Skuodas"
"Sakiai.2004" 24 2004 28.9696932563811 "Sakiai"
"Marijampole.2004" 25 2004 29.0935974743815 "Marijampole"
"Vilkaviskis.2004" 26 2004 28.545220228464 "Vilkaviskis"
"Birzai.2004" 27 2004 30.5925401647892 "Birzai"
"Kupiskis.2004" 28 2004 29.9720552745823 "Kupiskis"
"Panevezys.2004" 29 2004 28.5041761408005 "Panevezys"
"Pasvalys.2004" 30 2004 26.8778162295912 "Pasvalys"
"Rokiskis.2004" 31 2004 30.3189690134391 "Rokiskis"
"Silale.2004" 32 2004 31.8093656165301 "Silale"
"Jurbarkas.2004" 33 2004 30.0259836665687 "Jurbarkas"
"Taurage.2004" 34 2004 30.9974903030664 "Taurage"
"Mazeikiai.2004" 35 2004 25.7469781701204 "Mazeikiai"
"Plunge.2004" 36 2004 31.1203319388409 "Plunge"
"Telsiai.2004" 37 2004 29.5240414620023 "Telsiai"
"Anyksciai.2004" 38 2004 30.8100139467486 "Anyksciai"
"Ignalina.2004" 39 2004 30.507188900485 "Ignalina"
"Moletai.2004" 40 2004 30.2216574026358 "Moletai"
"Utena.2004" 41 2004 33.0135614502105 "Utena"
"Zarasai.2004" 42 2004 31.7927120730299 "Zarasai"
"Salcininkai.2004" 43 2004 28.5480965915515 "Salcininkai"
"Sirvintos.2004" 44 2004 30.4076680663597 "Sirvintos"
"Svencionys.2004" 45 2004 28.3556166420791 "Svencionys"
"Trakai.2004" 46 2004 28.5858121198541 "Trakai"
"Ukmerge.2004" 47 2004 29.96998563414 "Ukmerge"
"Vilnius.2004" 48 2004 29.8782861923828 "Vilnius"
"Siauliai.2005" 1 2005 29.1466956435851 "Siauliai"
"Akmene.2005" 2 2005 25.9831975097995 "Akmene"
"Joniskis.2005" 3 2005 26.6199418392704 "Joniskis"
"Kelme.2005" 4 2005 30.4202813196904 "Kelme"
"Pakruojis.2005" 5 2005 27.8708975805224 "Pakruojis"
"Radviliskis.2005" 6 2005 27.8360604193398 "Radviliskis"
"Alytus.2005" 7 2005 30.6488484782862 "Alytus"
"Druskininkai.2005" 8 2005 23.1439645581691 "Druskininkai"
"Lazdijai.2005" 9 2005 28.9538672761454 "Lazdijai"
"Varena.2005" 10 2005 29.2964220317754 "Varena"
"Birstonas.2005" 11 2005 26.1467613636364 "Birstonas"
"Jonava.2005" 12 2005 31.6503946965834 "Jonava"
"Kedainiai.2005" 13 2005 30.3460342377749 "Kedainiai"
"Kaisiadorys.2005" 14 2005 33.8569993673976 "Kaisiadorys"
"Kaunas.2005" 15 2005 30.6859539417804 "Kaunas"
