"ID" "Year" "LAI_Max" "Municipality"
"Siauliai.2002" 1 2002 3.94217356042174 "Siauliai"
"Akmene.2002" 2 2002 3.59675498048881 "Akmene"
"Joniskis.2002" 3 2002 3.3306202272304 "Joniskis"
"Kelme.2002" 4 2002 4.12722077922078 "Kelme"
"Pakruojis.2002" 5 2002 3.18330881150891 "Pakruojis"
"Radviliskis.2002" 6 2002 3.53643348160129 "Radviliskis"
"Alytus.2002" 7 2002 3.13235032602253 "Alytus"
"Druskininkai.2002" 8 2002 3.37727272727273 "Druskininkai"
"Lazdijai.2002" 9 2002 3.38120176405733 "Lazdijai"
"Varena.2002" 10 2002 4.04653559674346 "Varena"
"Birstonas.2002" 11 2002 2.7825 "Birstonas"
"Jonava.2002" 12 2002 3.57534278410411 "Jonava"
"Kedainiai.2002" 13 2002 3.21194361049471 "Kedainiai"
"Kaisiadorys.2002" 14 2002 3.58030973451327 "Kaisiadorys"
"Kaunas.2002" 15 2002 3.36102685404202 "Kaunas"
"Prienai.2002" 16 2002 3.18823198198198 "Prienai"
"Raseiniai.2002" 17 2002 3.32231843575419 "Raseiniai"
"Silute.2002" 18 2002 4.04541800643087 "Silute"
"Klaipeda.2002" 19 2002 3.7866269165247 "Klaipeda"
"Kretinga.2002" 20 2002 4.12344402903013 "Kretinga"
"Neringa.2002" 21 2002 3.25238095238095 "Neringa"
"Palanga.2002" 22 2002 4.33418803418803 "Palanga"
"Skuodas.2002" 23 2002 3.98351872871737 "Skuodas"
"Sakiai.2002" 24 2002 3.1833729216152 "Sakiai"
"Marijampole.2002" 25 2002 3.24818952752726 "Marijampole"
"Vilkaviskis.2002" 26 2002 2.54504181600956 "Vilkaviskis"
"Birzai.2002" 27 2002 3.88011106239953 "Birzai"
"Kupiskis.2002" 28 2002 3.9003008423586 "Kupiskis"
"Panevezys.2002" 29 2002 3.64639318271899 "Panevezys"
"Pasvalys.2002" 30 2002 3.21663309835515 "Pasvalys"
"Rokiskis.2002" 31 2002 4.09785862027011 "Rokiskis"
"Silale.2002" 32 2002 4.64852551984877 "Silale"
"Jurbarkas.2002" 33 2002 3.59732912119472 "Jurbarkas"
"Taurage.2002" 34 2002 4.31598966026588 "Taurage"
"Mazeikiai.2002" 35 2002 3.69141392567279 "Mazeikiai"
"Plunge.2002" 36 2002 4.72561696658098 "Plunge"
"Telsiai.2002" 37 2002 4.42682852807284 "Telsiai"
