"ID" "Year" "LAI_Med" "Municipality"
"Siauliai.2002" 1 2002 2.82361569073337 "Siauliai"
"Akmene.2002" 2 2002 2.7378358974359 "Akmene"
"Joniskis.2002" 3 2002 1.9102993121398 "Joniskis"
"Kelme.2002" 4 2002 2.95410355987055 "Kelme"
"Pakruojis.2002" 5 2002 1.97131067167838 "Pakruojis"
"Radviliskis.2002" 6 2002 2.35545112781955 "Radviliskis"
"Alytus.2002" 7 2002 2.21207394569613 "Alytus"
"Druskininkai.2002" 8 2002 2.34521276595745 "Druskininkai"
"Lazdijai.2002" 9 2002 2.41583731422505 "Lazdijai"
"Varena.2002" 10 2002 2.94202967307858 "Varena"
"Birstonas.2002" 11 2002 2.143125 "Birstonas"
"Jonava.2002" 12 2002 2.55294862934808 "Jonava"
"Kedainiai.2002" 13 2002 2.19912805830297 "Kedainiai"
"Kaisiadorys.2002" 14 2002 2.66085137347644 "Kaisiadorys"
"Kaunas.2002" 15 2002 2.24114274671476 "Kaunas"
"Prienai.2002" 16 2002 2.3490289449113 "Prienai"
"Raseiniai.2002" 17 2002 2.41608828428651 "Raseiniai"
"Silute.2002" 18 2002 3.02754327191513 "Silute"
"Klaipeda.2002" 19 2002 2.78160938263561 "Klaipeda"
"Kretinga.2002" 20 2002 3.01769785745518 "Kretinga"
"Neringa.2002" 21 2002 2.302 "Neringa"
"Palanga.2002" 22 2002 2.63759036144578 "Palanga"
"Skuodas.2002" 23 2002 2.79606218792556 "Skuodas"
"Sakiai.2002" 24 2002 2.21367491657397 "Sakiai"
"Marijampole.2002" 25 2002 2.42894631677101 "Marijampole"
"Vilkaviskis.2002" 26 2002 1.8345591982334 "Vilkaviskis"
"Birzai.2002" 27 2002 2.78190621814475 "Birzai"
"Kupiskis.2002" 28 2002 2.87200718276137 "Kupiskis"
"Panevezys.2002" 29 2002 2.50170710232831 "Panevezys"
"Pasvalys.2002" 30 2002 1.94276724282598 "Pasvalys"
"Rokiskis.2002" 31 2002 3.05736746987952 "Rokiskis"
"Silale.2002" 32 2002 3.46067182487262 "Silale"
"Jurbarkas.2002" 33 2002 2.77372079690411 "Jurbarkas"
"Taurage.2002" 34 2002 3.32029702970297 "Taurage"
"Mazeikiai.2002" 35 2002 2.66959857082808 "Mazeikiai"
"Plunge.2002" 36 2002 3.64884253370644 "Plunge"
"Telsiai.2002" 37 2002 3.3494326664676 "Telsiai"
"Anyksciai.2002" 38 2002 2.96605742550368 "Anyksciai"
"Ignalina.2002" 39 2002 2.94382584951456 "Ignalina"
"Moletai.2002" 40 2002 2.95608511306533 "Moletai"
"Utena.2002" 41 2002 3.25899338458788 "Utena"
"Zarasai.2002" 42 2002 3.20760333390032 "Zarasai"
"Salcininkai.2002" 43 2002 2.70778193924261 "Salcininkai"
"Sirvintos.2002" 44 2002 2.84576667487079 "Sirvintos"
"Svencionys.2002" 45 2002 3.12598655545873 "Svencionys"
"Trakai.2002" 46 2002 2.66307476754554 "Trakai"
"Ukmerge.2002" 47 2002 2.72749846248462 "Ukmerge"
"Vilnius.2002" 48 2002 2.78788780280493 "Vilnius"
"Siauliai.2003" 1 2003 2.79155201819215 "Siauliai"
"Akmene.2003" 2 2003 2.62814358974359 "Akmene"
"Joniskis.2003" 3 2003 2.32329429261945 "Joniskis"
"Kelme.2003" 4 2003 2.95501618122977 "Kelme"
"Pakruojis.2003" 5 2003 2.48047066514136 "Pakruojis"
"Radviliskis.2003" 6 2003 2.5952738990333 "Radviliskis"
"Alytus.2003" 7 2003 2.83226458694396 "Alytus"
"Druskininkai.2003" 8 2003 2.09893617021277 "Druskininkai"
"Lazdijai.2003" 9 2003 2.5047372611465 "Lazdijai"
"Varena.2003" 10 2003 2.66591908910549 "Varena"
"Birstonas.2003" 11 2003 2.53625 "Birstonas"
"Jonava.2003" 12 2003 2.76728864316978 "Jonava"
"Kedainiai.2003" 13 2003 2.61043727225403 "Kedainiai"
"Kaisiadorys.2003" 14 2003 3.17007458613789 "Kaisiadorys"
"Kaunas.2003" 15 2003 2.65802628188611 "Kaunas"
"Prienai.2003" 16 2003 2.96896358543417 "Prienai"
"Raseiniai.2003" 17 2003 2.7132842865075 "Raseiniai"
"Silute.2003" 18 2003 3.03695142378559 "Silute"
"Klaipeda.2003" 19 2003 2.88045284248249 "Klaipeda"
"Kretinga.2003" 20 2003 3.13854394403148 "Kretinga"
"Neringa.2003" 21 2003 2.05133333333333 "Neringa"
"Palanga.2003" 22 2003 2.76240963855422 "Palanga"
"Skuodas.2003" 23 2003 2.75136177939174 "Skuodas"
"Sakiai.2003" 24 2003 2.65522803114572 "Sakiai"
"Marijampole.2003" 25 2003 2.78686559211403 "Marijampole"
"Vilkaviskis.2003" 26 2003 2.56383556989978 "Vilkaviskis"
"Birzai.2003" 27 2003 2.78248143294015 "Birzai"
"Kupiskis.2003" 28 2003 2.65177573822825 "Kupiskis"
"Panevezys.2003" 29 2003 2.63596165134025 "Panevezys"
"Pasvalys.2003" 30 2003 2.25890250041953 "Pasvalys"
"Rokiskis.2003" 31 2003 2.73331325301205 "Rokiskis"
"Silale.2003" 32 2003 3.24493300622759 "Silale"
"Jurbarkas.2003" 33 2003 2.96594524867422 "Jurbarkas"
"Taurage.2003" 34 2003 3.16857352401907 "Taurage"
"Mazeikiai.2003" 35 2003 2.55678856662463 "Mazeikiai"
"Plunge.2003" 36 2003 3.40041974052404 "Plunge"
"Telsiai.2003" 37 2003 3.11466109286354 "Telsiai"
"Anyksciai.2003" 38 2003 2.89802147424297 "Anyksciai"
"Ignalina.2003" 39 2003 2.91278822815534 "Ignalina"
"Moletai.2003" 40 2003 2.9888033919598 "Moletai"
"Utena.2003" 41 2003 3.12274271410692 "Utena"
"Zarasai.2003" 42 2003 2.7985881952713 "Zarasai"
"Salcininkai.2003" 43 2003 2.73201553613539 "Salcininkai"
"Sirvintos.2003" 44 2003 3.04019197637214 "Sirvintos"
"Svencionys.2003" 45 2003 2.74962031619569 "Svencionys"
"Trakai.2003" 46 2003 2.87931473697618 "Trakai"
"Ukmerge.2003" 47 2003 3.00871771217712 "Ukmerge"
"Vilnius.2003" 48 2003 2.86361240968976 "Vilnius"
"Siauliai.2004" 1 2004 2.47174530983513 "Siauliai"
"Akmene.2004" 2 2004 2.28301538461538 "Akmene"
"Joniskis.2004" 3 2004 2.18823201338539 "Joniskis"
"Kelme.2004" 4 2004 2.58929449838188 "Kelme"
"Pakruojis.2004" 5 2004 2.34847197254453 "Pakruojis"
"Radviliskis.2004" 6 2004 2.4406283566058 "Radviliskis"
"Alytus.2004" 7 2004 2.72967937608319 "Alytus"
