"ID" "Year" "LAI_Q75" "Municipality"
"Siauliai.2002" 1 2002 3.34098887730275 "Siauliai"
"Akmene.2002" 2 2002 3.13853974121996 "Akmene"
"Joniskis.2002" 3 2002 2.60173216613895 "Joniskis"
"Kelme.2002" 4 2002 3.46646103896104 "Kelme"
"Pakruojis.2002" 5 2002 2.53531960111166 "Pakruojis"
"Radviliskis.2002" 6 2002 2.90627443051624 "Radviliskis"
"Alytus.2002" 7 2002 2.66713841138115 "Alytus"
"Druskininkai.2002" 8 2002 2.77017045454545 "Druskininkai"
"Lazdijai.2002" 9 2002 2.86114939360529 "Lazdijai"
"Varena.2002" 10 2002 3.38344664818985 "Varena"
"Birstonas.2002" 11 2002 2.4471875 "Birstonas"
"Jonava.2002" 12 2002 3.01803392981641 "Jonava"
"Kedainiai.2002" 13 2002 2.66624787886699 "Kedainiai"
"Kaisiadorys.2002" 14 2002 3.09882005899705 "Kaisiadorys"
"Kaunas.2002" 15 2002 2.85924933908446 "Kaunas"
"Prienai.2002" 16 2002 2.73232451201201 "Prienai"
"Raseiniai.2002" 17 2002 2.8458624301676 "Raseiniai"
"Silute.2002" 18 2002 3.51846864951768 "Silute"
"Klaipeda.2002" 19 2002 3.30617546848382 "Klaipeda"
"Kretinga.2002" 20 2002 3.58572685287002 "Kretinga"
"Neringa.2002" 21 2002 2.79089285714286 "Neringa"
"Palanga.2002" 22 2002 3.70676638176638 "Palanga"
"Skuodas.2002" 23 2002 3.35477866061294 "Skuodas"
"Sakiai.2002" 24 2002 2.66389548693587 "Sakiai"
"Marijampole.2002" 25 2002 2.80671355498721 "Marijampole"
"Vilkaviskis.2002" 26 2002 2.15556835637481 "Vilkaviskis"
"Birzai.2002" 27 2002 3.2690705830776 "Birzai"
"Kupiskis.2002" 28 2002 3.32089350180505 "Kupiskis"
"Panevezys.2002" 29 2002 3.02688515655965 "Panevezys"
"Pasvalys.2002" 30 2002 2.54926988922457 "Pasvalys"
"Rokiskis.2002" 31 2002 3.53560347974206 "Rokiskis"
"Silale.2002" 32 2002 3.96930529300567 "Silale"
"Jurbarkas.2002" 33 2002 3.14011344055141 "Jurbarkas"
"Taurage.2002" 34 2002 3.75490214180207 "Taurage"
"Mazeikiai.2002" 35 2002 3.17929303716361 "Mazeikiai"
"Plunge.2002" 36 2002 4.14909061696658 "Plunge"
"Telsiai.2002" 37 2002 3.85938543247344 "Telsiai"
"Anyksciai.2002" 38 2002 3.4392583819242 "Anyksciai"
"Ignalina.2002" 39 2002 3.63798882681564 "Ignalina"
"Moletai.2002" 40 2002 3.55662365240118 "Moletai"
"Utena.2002" 41 2002 3.83132870961854 "Utena"
"Zarasai.2002" 42 2002 3.94965391621129 "Zarasai"
"Salcininkai.2002" 43 2002 3.25456064614956 "Salcininkai"
"Sirvintos.2002" 44 2002 3.25494193229553 "Sirvintos"
"Svencionys.2002" 45 2002 3.6772428607531 "Svencionys"
"Trakai.2002" 46 2002 3.21183472475867 "Trakai"
"Ukmerge.2002" 47 2002 3.15629945694337 "Ukmerge"
"Vilnius.2002" 48 2002 3.39851019687472 "Vilnius"
"Siauliai.2003" 1 2003 3.65574093384312 "Siauliai"
"Akmene.2003" 2 2003 3.3804528650647 "Akmene"
"Joniskis.2003" 3 2003 3.4721084000745 "Joniskis"
"Kelme.2003" 4 2003 3.76975 "Kelme"
"Pakruojis.2003" 5 2003 3.60968203367664 "Pakruojis"
"Radviliskis.2003" 6 2003 3.50470413802399 "Radviliskis"
"Alytus.2003" 7 2003 3.47603363959692 "Alytus"
"Druskininkai.2003" 8 2003 2.59659090909091 "Druskininkai"
"Lazdijai.2003" 9 2003 3.08498828555678 "Lazdijai"
"Varena.2003" 10 2003 3.36807985449506 "Varena"
"Birstonas.2003" 11 2003 2.99125 "Birstonas"
"Jonava.2003" 12 2003 3.5911747617941 "Jonava"
"Kedainiai.2003" 13 2003 3.50412152460514 "Kedainiai"
"Kaisiadorys.2003" 14 2003 3.91813237463127 "Kaisiadorys"
"Kaunas.2003" 15 2003 3.60949979128983 "Kaunas"
"Prienai.2003" 16 2003 3.58806306306306 "Prienai"
"Raseiniai.2003" 17 2003 3.46467877094972 "Raseiniai"
"Silute.2003" 18 2003 3.76637287551677 "Silute"
"Klaipeda.2003" 19 2003 3.55318143100511 "Klaipeda"
"Kretinga.2003" 20 2003 3.73382449967011 "Kretinga"
